Time,Vz_mean,Omega_z,Input_Torque,Applied_Torque_Global_Z_Projection,Applied_Torque_Axis_Alignment,Damping_Torque_Global_Z_Estimate,Power_Efficiency,Theoretical_Error,V_theory
0.0,0.0,0.0,1e-08,1e-08,1.0,0.0,0.0,616.2906904114006,1.5770073353748385e-06
0.024000000000002013,1.0964996200183085e-09,5.534467498511689e-05,1e-08,1e-08,1.0,1.73870424348558e-09,2.734594948551019e-08,616.2906904114006,1.5770073353748385e-06
0.04799999999999774,4.013643367601579e-09,9.952479119728986e-05,1e-08,1e-08,1.0,3.1266635287546385e-09,2.0375025628657603e-07,616.2906904114006,1.5770073353748385e-06
0.07200000000000162,8.382954804286864e-09,0.00013583862573178631,1e-08,9.999999999998745e-09,0.9999999999998744,4.267496286727133e-09,6.512126792913549e-07,616.2906904114006,1.5770073353748385e-06
0.09600000000002562,1.388235246699016e-08,0.00016488734805197538,1e-08,9.999999999993416e-09,0.9999999999993415,5.1800888130998915e-09,1.4712642354063282e-06,616.2906904114006,1.5770073353748385e-06
0.12000000000004962,1.9628848107458045e-08,0.00018808786308960592,1e-08,9.999999999985008e-09,0.9999999999985009,5.908954489117088e-09,2.578580736634005e-06,616.2906904114006,1.5770073353748385e-06
0.14400000000007362,2.6125135013842537e-08,0.00020605873023121606,1e-08,9.999999999972417e-09,0.9999999999972417,6.473525931024295e-09,4.169442081514316e-06,616.2906904114006,1.5770073353748385e-06
0.16800000000009763,3.319978759781304e-08,0.0002198595458453868,1e-08,9.999999999954552e-09,0.9999999999954552,6.907091340494555e-09,6.3106945719524465e-06,616.2906904114006,1.5770073353748385e-06
0.19200000000012163,3.990486860885514e-08,0.00023169695211229055,1e-08,9.999999999931295e-09,0.9999999999931294,7.278974426151183e-09,8.651338941125226e-06,616.2906904114006,1.5770073353748385e-06
0.21600000000014563,4.692325703783511e-08,0.00024084128125388197,1e-08,9.999999999902505e-09,0.9999999999902505,7.566251998683488e-09,1.1507930969504376e-05,616.2906904114006,1.5770073353748385e-06
0.24000000000016963,5.4194047404735385e-08,0.00024826770829161334,1e-08,9.999999999867885e-09,0.9999999999867885,7.799560084925061e-09,1.4891375536048325e-05,616.2906904114006,1.5770073353748385e-06
0.2640000000001159,6.100627429162967e-08,0.0002547243661961215,1e-08,9.999999999827528e-09,0.9999999999827528,8.002401975320517e-09,1.839206077483029e-05,616.2906904114006,1.5770073353748385e-06
0.2880000000000067,6.772111464640457e-08,0.0002598072857052858,1e-08,9.999999999781416e-09,0.9999999999781416,8.162086601208304e-09,2.2220240093945184e-05,616.2906904114006,1.5770073353748385e-06
0.31199999999989747,7.428063643043777e-08,0.0002633680048870475,1e-08,9.999999999729739e-09,0.9999999999729738,8.273949893437494e-09,2.637181958099505e-05,616.2906904114006,1.5770073353748385e-06
0.33599999999978825,8.090824701828601e-08,0.00026606750561659345,1e-08,9.999999999672622e-09,0.9999999999672622,8.35875721004051e-09,3.0970315020214846e-05,616.2906904114006,1.5770073353748385e-06
0.359999999999679,8.711525118548393e-08,0.00026849973388055946,1e-08,9.999999999609968e-09,0.9999999999609968,8.435167914499801e-09,3.557921848457968e-05,616.2906904114006,1.5770073353748385e-06
0.3839999999995698,9.302208591550925e-08,0.0002707024380464329,1e-08,9.999999999541942e-09,0.9999999999541942,8.504367906755198e-09,4.0237580454124105e-05,616.2906904114006,1.5770073353748385e-06
0.40799999999946057,9.895392793259983e-08,0.0002722844295223347,1e-08,9.999999999468879e-09,0.9999999999468879,8.554067634742547e-09,4.526840018322105e-05,616.2906904114006,1.5770073353748385e-06
0.43199999999935135,1.0446891401961483e-07,0.0002738907256108849,1e-08,9.999999999391122e-09,0.9999999999391123,8.604530914655339e-09,5.015898171592317e-05,616.2906904114006,1.5770073353748385e-06
0.4559999999992421,1.0977736441199683e-07,0.0002749267443508415,1e-08,9.999999999308581e-09,0.9999999999308581,8.637078403279627e-09,5.517730542533684e-05,616.2906904114006,1.5770073353748385e-06
0.4799999999991329,1.1498889672385476e-07,0.0002756587957297631,1e-08,9.999999999221724e-09,0.9999999999221724,8.660076475620331e-09,6.037982323096274e-05,616.2906904114006,1.5770073353748385e-06
0.5039999999990681,1.199263870329177e-07,0.0002762095147292587,1e-08,9.99999999913038e-09,0.999999999913038,8.67737782325041e-09,6.554547919355717e-05,616.2906904114006,1.5770073353748385e-06
0.5279999999992253,1.2463436284359388e-07,0.0002766558215502475,1e-08,9.999999999034533e-09,0.9999999999034533,8.691398965551064e-09,7.067855467166506e-05,616.2906904114006,1.5770073353748385e-06
0.5519999999993825,1.2909762710082538e-07,0.00027729520303545113,1e-08,9.999999998933961e-09,0.999999999893396,8.711485727318634e-09,7.565646412553765e-05,616.2906904114006,1.5770073353748385e-06
0.5759999999995398,1.3340872066945155e-07,0.0002778525718716055,1e-08,9.999999998829288e-09,0.9999999998829288,8.728995985728658e-09,8.063171469106427e-05,616.2906904114006,1.5770073353748385e-06
0.599999999999697,1.375529158181556e-07,0.00027807741023164293,1e-08,9.999999998720969e-09,0.9999999998720969,8.736059491130047e-09,8.564968483412117e-05,616.2906904114006,1.5770073353748385e-06
0.6239999999998542,1.414987050475685e-07,0.00027824110976776577,1e-08,9.999999998608825e-09,0.9999999998608824,8.741202263730844e-09,9.058066639120135e-05,616.2906904114006,1.5770073353748385e-06
0.6480000000000115,1.452904549412603e-07,0.0002784100268252088,1e-08,9.999999998492081e-09,0.9999999998492081,8.746508949598133e-09,9.544236068797849e-05,616.2906904114006,1.5770073353748385e-06
0.6720000000001687,1.488276689511675e-07,0.00027865827417603646,1e-08,9.99999999837177e-09,0.9999999998371769,8.754307870134468e-09,0.00010005695768132743,616.2906904114006,1.5770073353748385e-06
0.6960000000003259,1.5225483050966192e-07,0.0002787388804491841,1e-08,9.999999998248255e-09,0.9999999998248255,8.756840190890004e-09,0.00010468789961437679,616.2906904114006,1.5770073353748385e-06
0.7200000000004831,1.5554986409611547e-07,0.00027889378037665956,1e-08,9.999999998120408e-09,0.9999999998120408,8.761706515631988e-09,0.00010920746357663945,616.2906904114006,1.5770073353748385e-06
0.7440000000006404,1.5866286359573302e-07,0.00027911928356548694,1e-08,9.999999997988785e-09,0.9999999997988784,8.768790907245803e-09,0.00011353051618647116,616.2906904114006,1.5770073353748385e-06
0.7680000000007976,1.6166973002576284e-07,0.0002791143034257653,1e-08,9.999999997854072e-09,0.9999999997854072,8.768634451542166e-09,0.00011787649420777698,616.2906904114006,1.5770073353748385e-06
0.7920000000009548,1.645292831604591e-07,0.0002791016934795675,1e-08,9.999999997715516e-09,0.9999999997715516,8.768238298398798e-09,0.00012208879771694942,616.2906904114006,1.5770073353748385e-06
0.8160000000011121,1.6722172459707712e-07,0.0002792429280560769,1e-08,9.999999997573021e-09,0.999999999757302,8.772675313478744e-09,0.00012605355274778441,616.2906904114006,1.5770073353748385e-06
0.8400000000012693,1.6980149764414315e-07,0.0002793333665487971,1e-08,9.999999997427887e-09,0.9999999997427886,8.775516522522059e-09,0.00012993079471243716,616.2906904114006,1.5770073353748385e-06
0.8640000000014265,1.7226707998334587e-07,0.00027936131269226775,1e-08,9.999999997278672e-09,0.9999999997278671,8.776394476512295e-09,0.00013371810069967682,616.2906904114006,1.5770073353748385e-06
0.8880000000015837,1.7467263105969137e-07,0.0002793569879029593,1e-08,9.999999997125544e-09,0.9999999997125544,8.776258609249095e-09,0.00013748080365119975,616.2906904114006,1.5770073353748385e-06
0.912000000001741,1.769229240219175e-07,0.00027942543181288973,1e-08,9.999999996970349e-09,0.9999999996970348,8.778408838095302e-09,0.0001410113802512562,616.2906904114006,1.5770073353748385e-06
0.9360000000018982,1.7905991166412988e-07,0.00027945605280793075,1e-08,9.999999996810478e-09,0.9999999996810478,8.779370825025967e-09,0.00014442257659441813,616.2906904114006,1.5770073353748385e-06
0.9600000000020554,1.8112262908091955e-07,0.00027948720023487434,1e-08,9.999999996647315e-09,0.9999999996647314,8.780349350302607e-09,0.00014775268491877642,616.2906904114006,1.5770073353748385e-06
0.9840000000022127,1.830672956742932e-07,0.0002795574346244335,1e-08,9.999999996481783e-09,0.9999999996481782,8.782555828725293e-09,0.00015090455992959693,616.2906904114006,1.5770073353748385e-06
1.00800000000237,1.849350369127882e-07,0.0002795579185810411,1e-08,9.999999996311253e-09,0.9999999996311253,8.782571032670523e-09,0.0001539992039470896,616.2906904114006,1.5770073353748385e-06
1.0320000000025271,1.8673642278747764e-07,0.0002795521971297168,1e-08,9.999999996138518e-09,0.9999999996138518,8.782391287976041e-09,0.00015701713096883757,616.2906904114006,1.5770073353748385e-06
1.0560000000026843,1.8845075749803972e-07,0.00027958023467549174,1e-08,9.999999995962657e-09,0.9999999995962657,8.783272113454353e-09,0.00015989732100696292,616.2906904114006,1.5770073353748385e-06
1.0800000000028416,1.900807400989728e-07,0.0002795962739410456,1e-08,9.999999995781942e-09,0.9999999995781942,8.783776001842683e-09,0.00016266597725400422,616.2906904114006,1.5770073353748385e-06
1.1040000000029988,1.916106030836266e-07,0.00027965376571488775,1e-08,9.999999995599078e-09,0.9999999995599078,8.785582159186127e-09,0.0001652609638669054,616.2906904114006,1.5770073353748385e-06
