Status,P/R,Pitch,Vz_final_mean,Vz_com_avg,status,failure_reason,invalid_result,V_sim,V_theory,absolute_error,signed_error,pct_error,pct_error_vs_theory,pct_error_vs_sim,error_status,steady_last_mean,steady_prev_mean,steady_relative_change,steady_std,steady_std_over_mean,steady_state_status,omega_theory,omega_sim,omega_last_mean,omega_prev_mean,omega_relative_change,omega_std,omega_std_over_mean,omega_state_status,theory_mode,theory_warning,helix_angle,helix_angle_deg,body_translational_drag,body_rotational_drag,A,B,D,A_total,D_total,force_residual,force_residual_norm,torque_residual,torque_residual_norm,torque_coupling_term,torque_rotational_resistance_term,torque_applied_term,torque_balance_residual,torque_coupling_to_applied_ratio,torque_rotational_to_applied_ratio,torque_residual_to_applied_ratio,helix_rotational_resistance,total_rotational_resistance,body_rotational_fraction,helix_rotational_fraction,effective_rotational_resistance,effective_rotational_resistance_ratio,effective_D_from_omega_sim,effective_D_ratio,torque_frame_assumption,omega_frame,torque_axis,omega_axis,torque_sign_convention,applied_torque_material_component,applied_torque_global_z_projection,applied_torque_axis_alignment,torque_projection_to_omega_axis,torque_frame_status,frame_mismatch_risk,damping_model,damping_constant,damping_effective_coefficient,rotational_damping_mass,damping_estimate_status,damping_torque_estimate,damping_torque_to_applied_ratio,torque_balance_with_damping_residual,torque_balance_with_damping_residual_ratio,torque_balance_missing_fraction,torque_balance_interpretation,Cn_over_Ct,Theoretical_Error,Eta_slip,Eta_power,P_in,P_out,omega_used,omega_source,efficiency_model,stiffness_status,deformation_exceeded,worst_metric_pct
OK,6.0,0.06,2.7962883214776373e-06,2.559532337402297e-06,OK,NONE,False,2.559532337402297e-06,2.827148668944722e-06,2.676163315424249e-07,-2.676163315424249e-07,10.455673000561978,9.465944769091925,10.455673000561978,OK,2.559532337402297e-06,1.990993152989057e-06,0.2221261970810879,1.4856314297901939e-07,0.05804308107699005,TRANSIENT_LIKELY,0.002532568629287045,0.003344999312814957,0.003344999312814957,0.0029876622235932406,0.10682725340263295,8.589587324650698e-05,0.02567889114877635,TRANSIENT_LIKELY,torque_driven_rft,,0.7623475341648746,43.679296229852646,0.01258785923025341,1.7973874471776089e-06,0.022305969823511303,3.895256429497313e-05,2.1946562721448817e-06,0.034893829053764716,3.992043719322491e-06,4.098441696016696e-08,0.18662517987538568,-3.253683149923272e-09,0.13873157028371438,9.970034793772583e-11,1.3353383497860997e-08,1e-08,-3.253683149923272e-09,0.009970034793772583,1.3353383497860998,0.3253683149923272,2.1946562721448817e-06,3.992043719322491e-06,0.45024242557209576,0.5497575744279042,3.019343026243675e-06,0.7563401702314279,3.019343026243675e-06,0.7563401702314279,ASSUMED_MATERIAL_COMPONENT_2,INERTIAL_GLOBAL_Z,COMPONENT_2_AT_FIRST_ELEMENT,GLOBAL_Z,POSITIVE_APPLIED_COMPONENT_2,1e-08,9.999995974602035e-09,0.9999995974602035,9.999995974602035e-09,PROJECTED_TO_GLOBAL_Z,False,PYELASTICA_ANALYTICAL_LINEAR_DAMPER_DEPRECATED_DAMPING_CONSTANT,1e-05,3.141592653589793e-07,0.03141592653589793,PROJECTED_ELEMENTWISE_DEPRECATED_DAMPER_EQUIVALENT,1.0508625267402379e-09,0.10508625267402379,-4.30454567666351e-09,0.430454567666351,0.3253683149923272,RFT_ROTATIONAL_RESISTANCE_TOO_SMALL,1.4278738062607212,10.455673000561978,0.0801296426479853,0.002465341499750876,3.3449993128149574e-11,8.246565622520876e-14,0.003344999312814957,omega_sim,rft_useful_power_ratio,OK,False,0.10915970812874756
OK,7.0,0.07,2.7110290525034026e-06,2.465019392342387e-06,OK,NONE,False,2.465019392342387e-06,2.8547923171404823e-06,3.897729247980953e-07,-3.897729247980953e-07,15.812164642961013,13.653284775143062,15.812164642961013,OK,2.465019392342387e-06,1.8887169288920767e-06,0.2337922635580884,1.5342699088785936e-07,0.062241697312598106,TRANSIENT_LIKELY,0.002597292625323983,0.003926428673287905,0.003926428673287905,0.0034677699234189805,0.11681321323605083,0.00011236179805992739,0.028616793378762207,TRANSIENT_LIKELY,torque_driven_rft,,0.8393099377654747,48.08891713734948,0.01258785923025341,1.7973874471776089e-06,0.02014433624291611,3.597731701420774e-05,2.0923197308664085e-06,0.03273219547316952,3.8897071780440175e-06,6.057687251724948e-08,0.27293289045178054,-5.183973010441339e-09,0.20440451818970898,8.868478412447179e-11,1.527265779456581e-08,1e-08,-5.183973010441339e-09,0.00886847841244718,1.5272657794565812,0.5183973010441338,2.0923197308664085e-06,3.8897071780440175e-06,0.46208811226798957,0.5379118877320104,2.569430294954634e-06,0.6605716516292367,2.569430294954634e-06,0.6605716516292367,ASSUMED_MATERIAL_COMPONENT_2,INERTIAL_GLOBAL_Z,COMPONENT_2_AT_FIRST_ELEMENT,GLOBAL_Z,POSITIVE_APPLIED_COMPONENT_2,1e-08,9.999993224199918e-09,0.9999993224199916,9.999993224199918e-09,PROJECTED_TO_GLOBAL_Z,False,PYELASTICA_ANALYTICAL_LINEAR_DAMPER_DEPRECATED_DAMPING_CONSTANT,1e-05,3.141592653589793e-07,0.03141592653589793,PROJECTED_ELEMENTWISE_DEPRECATED_DAMPER_EQUIVALENT,1.23352394748456e-09,0.123352394748456,-6.417496957925898e-09,0.6417496957925898,0.5183973010441338,RFT_ROTATIONAL_RESISTANCE_TOO_SMALL,1.4278738062607212,15.812164642961013,0.05635136702231963,0.001948026432499698,3.9264286732879045e-11,7.648786840889559e-14,0.003926428673287905,omega_sim,rft_useful_power_ratio,OK,False,0.12167741788582365
OK,8.0,0.08,2.509639718811238e-06,2.26908313361443e-06,OK,NONE,False,2.26908313361443e-06,2.815651797210339e-06,5.465686635959088e-07,-5.465686635959088e-07,24.087643837239128,19.41179886438487,24.087643837239128,OK,2.26908313361443e-06,1.7165288853385418e-06,0.24351432527539127,1.4934931644327982e-07,0.06581923519275418,TRANSIENT_LIKELY,0.0026412300365671218,0.00455003544835743,0.00455003544835743,0.003976698521610511,0.12600713406615216,0.00014282509751293145,0.03138988676769354,TRANSIENT_LIKELY,torque_driven_rft,,0.9050225767665427,51.853974012777456,0.01258785923025341,1.7973874471776089e-06,0.018618983948892262,3.326768318780239e-05,2.0241919200916565e-06,0.031206843179145672,3.821579367269265e-06,8.055821627807543e-08,0.3625807668417493,-7.312834450970645e-09,0.266271678602052,7.548713881587074e-11,1.7388321589786516e-08,1e-08,-7.312834450970645e-09,0.0075487138815870745,1.7388321589786515,0.7312834450970646,2.0241919200916565e-06,3.821579367269265e-06,0.4703258193645587,0.5296741806354414,2.214375525899065e-06,0.5794398893987545,2.214375525899065e-06,0.5794398893987545,ASSUMED_MATERIAL_COMPONENT_2,INERTIAL_GLOBAL_Z,COMPONENT_2_AT_FIRST_ELEMENT,GLOBAL_Z,POSITIVE_APPLIED_COMPONENT_2,1e-08,9.999990511618755e-09,0.9999990511618755,9.999990511618755e-09,PROJECTED_TO_GLOBAL_Z,False,PYELASTICA_ANALYTICAL_LINEAR_DAMPER_DEPRECATED_DAMPING_CONSTANT,1e-05,3.141592653589793e-07,0.03141592653589793,PROJECTED_ELEMENTWISE_DEPRECATED_DAMPER_EQUIVALENT,1.4294357938132849e-09,0.14294357938132848,-8.74227024478393e-09,0.8742270244783931,0.7312834450970646,RFT_ROTATIONAL_RESISTANCE_TOO_SMALL,1.4278738062607212,24.087643837239128,0.03916746904423026,0.0014244195074348876,4.5500354483574305e-11,6.481159252160569e-14,0.00455003544835743,omega_sim,rft_useful_power_ratio,OK,False,0.12641640572574875
OK,9.0,0.09,2.2543888200792815e-06,2.0287772031743867e-06,OK,NONE,False,2.0287772031743867e-06,2.7375496780085695e-06,7.087724748341828e-07,-7.087724748341828e-07,34.93594435727989,25.890762112115507,34.93594435727989,OK,2.0287772031743867e-06,1.518700368325532e-06,0.2514208233662858,1.3953738621995943e-07,0.06877905863769965,TRANSIENT_LIKELY,0.0026719234162004583,0.0051656727154909075,0.0051656727154909075,0.004473464523250327,0.1340015580477592,0.0001751651807414901,0.03390946163046717,TRANSIENT_LIKELY,torque_driven_rft,,0.9613253553674671,55.079885601469904,0.01258785923025341,1.7973874471776089e-06,0.01750440150187531,3.083136970854276e-05,1.976823424688793e-06,0.03009226073212872,3.7742108718664016e-06,9.821427271930967e-08,0.4457897000769611,-9.433788143302085e-09,0.3191523344967613,6.254998000733289e-11,1.949633812330942e-08,1e-08,-9.433788143302085e-09,0.006254998000733289,1.9496338123309418,0.9433788143302085,1.976823424688793e-06,3.7742108718664016e-06,0.4762286761917929,0.5237713238082071,1.9479650636463258e-06,0.5161251264911515,1.9479650636463258e-06,0.5161251264911515,ASSUMED_MATERIAL_COMPONENT_2,INERTIAL_GLOBAL_Z,COMPONENT_2_AT_FIRST_ELEMENT,GLOBAL_Z,POSITIVE_APPLIED_COMPONENT_2,1e-08,9.999988218262042e-09,0.9999988218262041,9.999988218262042e-09,PROJECTED_TO_GLOBAL_Z,False,PYELASTICA_ANALYTICAL_LINEAR_DAMPER_DEPRECATED_DAMPING_CONSTANT,1e-05,3.141592653589793e-07,0.03141592653589793,PROJECTED_ELEMENTWISE_DEPRECATED_DAMPER_EQUIVALENT,1.6228439453835474e-09,0.16228439453835472,-1.1056632088685633e-08,1.1056632088685632,0.9433788143302085,RFT_ROTATIONAL_RESISTANCE_TOO_SMALL,1.4278738062607212,34.93594435727989,0.027418571740799886,0.0010029833025902008,5.1656727154909076e-11,5.181083480283161e-14,0.0051656727154909075,omega_sim,rft_useful_power_ratio,OK,False,0.12557431214865733
OK,10.0,0.1,1.9877129947198988e-06,1.7820515258864681e-06,OK,NONE,False,1.7820515258864681e-06,2.638697345068359e-06,8.566458191818911e-07,-8.566458191818911e-07,48.070766009740325,32.464724337671186,48.070766009740325,OK,1.7820515258864681e-06,1.3226458799953676e-06,0.2577959386794793,1.2690302266294075e-07,0.07121175836922773,TRANSIENT_LIKELY,0.0026939576244754885,0.005745130076150584,0.005745130076150584,0.004936056966303367,0.1408276399529881,0.00020709241063523393,0.036046600841106155,TRANSIENT_LIKELY,torque_driven_rft,,1.0098142106862729,57.85809236465795,0.01258785923025341,1.7973874471776089e-06,0.01666680518136194,2.8654572964496754e-05,1.942690219250867e-06,0.02925466441161535,3.740077666428476e-06,1.1249092960356602e-07,0.5189711735548536,-1.1436168763062324e-08,0.36261212528457487,5.106392547500658e-11,2.148723268853733e-08,1e-08,-1.1436168763062324e-08,0.005106392547500658,2.148723268853733,1.1436168763062324,1.942690219250867e-06,3.740077666428476e-06,0.48057489910202683,0.5194251008979731,1.7494928386738166e-06,0.4677691199777852,1.7494928386738166e-06,0.4677691199777852,ASSUMED_MATERIAL_COMPONENT_2,INERTIAL_GLOBAL_Z,COMPONENT_2_AT_FIRST_ELEMENT,GLOBAL_Z,POSITIVE_APPLIED_COMPONENT_2,1e-08,9.999986514721324e-09,0.9999986514721323,9.999986514721324e-09,PROJECTED_TO_GLOBAL_Z,False,PYELASTICA_ANALYTICAL_LINEAR_DAMPER_DEPRECATED_DAMPING_CONSTANT,1e-05,3.141592653589793e-07,0.03141592653589793,PROJECTED_ELEMENTWISE_DEPRECATED_DAMPER_EQUIVALENT,1.804885844115244e-09,0.1804885844115244,-1.3241054607177569e-08,1.324105460717757,1.1436168763062324,RFT_ROTATIONAL_RESISTANCE_TOO_SMALL,1.4278738062607212,48.070766009740325,0.019489480334950272,0.0006958129791737274,5.7451300761505845e-11,3.997536074026922e-14,0.005745130076150584,omega_sim,rft_useful_power_ratio,OK,False,0.12116433222852929
