experiment_kind,parameter_value,V_sim,V_theory,Re_radius,Re_total_length,Re_theory_radius,Re_theory_total_length,low_re_status,notes
H1,2.0,1.002397613667085e-06,1.2035636865743017e-06,0.00010023976136670852,0.0010023976136670852,0.00012035636865743017,0.0012035636865743017,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,2.5,1.6487861896825048e-06,1.5770073353748385e-06,0.0001648786189682505,0.001648786189682505,0.00015770073353748383,0.0015770073353748384,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,3.0,1.914437324272e-06,1.906045497427405e-06,0.00019144373242720002,0.0019144373242720003,0.00019060454974274049,0.0019060454974274051,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,3.5,2.0170097768548225e-06,2.181370605961862e-06,0.0002017009776854822,0.0020170097768548224,0.00021813706059618617,0.0021813706059618616,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,4.0,2.186491636615988e-06,2.401642133326228e-06,0.00021864916366159883,0.0021864916366159883,0.0002401642133326228,0.002401642133326228,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,4.5,2.360425756599792e-06,2.5702262511219245e-06,0.00023604257565997916,0.0023604257565997917,0.00025702262511219246,0.0025702262511219246,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,5.0,2.4829304330809515e-06,2.6928960046472704e-06,0.00024829304330809514,0.0024829304330809517,0.00026928960046472707,0.0026928960046472706,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,6.0,2.559532337402297e-06,2.827148668944722e-06,0.0002559532337402297,0.0025595323374022973,0.0002827148668944722,0.002827148668944722,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,7.0,2.465019392342387e-06,2.8547923171404823e-06,0.0002465019392342387,0.002465019392342387,0.0002854792317140482,0.002854792317140482,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,8.0,2.26908313361443e-06,2.815651797210339e-06,0.000226908313361443,0.00226908313361443,0.0002815651797210339,0.0028156517972103387,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,9.0,2.0287772031743867e-06,2.737549678008569e-06,0.0002028777203174387,0.002028777203174387,0.0002737549678008569,0.002737549678008569,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
H1,10.0,1.782051525886468e-06,2.638697345068359e-06,0.00017820515258864676,0.0017820515258864678,0.0002638697345068359,0.002638697345068359,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length"
