Status,P/R,Pitch,Vz_final_mean,Vz_com_avg,Theoretical_Error,pct_error,V_theory,V_sim,Cn_over_Ct,Eta_slip,Eta_power,P_in,P_out,stiffness_status,deformation_exceeded,worst_metric_pct
NAN/INF,0.5,0.005,,,0.0,0.0,,,1.4278738062607212,0.0,0.0,,,OK,False,
OK,1.0,0.01,7.571885966598822e-09,8.211808484313118e-09,320.3186765086081,320.3186765086081,3.451576473868649e-08,8.211808484313118e-09,1.4278738062607212,0.07005036417338835,1.1524476822770267e-06,7.365602595055449e-13,8.488471639245306e-19,OK,False,0.000677732524545504
OK,1.5,0.015,1.0905531140976375e-08,9.190924908936461e-09,566.1222468865108,566.1222468865108,6.122279551305955e-08,9.190924908936461e-09,1.4278738062607212,0.04325877479322159,1.1948040911382994e-06,8.89966403706673e-13,1.0633355001243723e-18,OK,False,0.0004495176864072188
OK,2.0,0.02,1.3148681246417078e-08,1.1288436943468072e-08,703.6007601492583,703.6007601492583,9.071396508667912e-08,1.1288436943468072e-08,1.4278738062607212,0.03481869542873992,1.5748830592371138e-06,1.0185238170307386e-12,1.604055904871232e-18,OK,False,0.00040406308854379314
OK,2.5,0.025,1.49227072758581e-08,1.251579182420127e-08,833.7767722009756,833.7767722009756,1.1686955691142023e-07,1.251579182420127e-08,1.4278738062607212,0.02888803032223894,1.810874194898568e-06,1.0888805975394029e-12,1.971825775409838e-18,OK,False,0.0003259200465066703
OK,3.0,0.03,1.5812263710117328e-08,1.3613104203184524e-08,997.8628381359819,997.8628381359819,1.4945321216349026e-07,1.3613104203184524e-08,1.4278738062607212,0.02353680716990731,1.925741466799668e-06,1.2113460660021274e-12,2.3327393499449446e-18,OK,False,0.00034339477261724455
OK,3.5,0.035,1.3974942857193565e-08,1.1680107053870637e-08,1402.6059394594695,1402.6059394594695,1.7550598232668464e-07,1.1680107053870637e-08,1.4278738062607212,0.0163824317215773,1.3417303494134862e-06,1.2799125005966852e-12,1.7172974466442793e-18,OK,False,0.0002440679092163831
OK,4.0,0.04,1.3180157329013135e-08,1.1001451916682645e-08,1667.8603010217382,1667.8603010217382,1.944903009710276e-07,1.1001451916682645e-08,1.4278738062607212,0.013202851254995705,1.1639913045489263e-06,1.3088869916334897e-12,1.5235330768985852e-18,OK,False,0.0001698770157876338
OK,4.5,0.045,1.3662925288533646e-08,1.1484940704072112e-08,1745.716661727145,1745.716661727145,2.1197946416454188e-07,1.1484940704072112e-08,1.4278738062607212,0.011944476827097312,1.2367457098525544e-06,1.3425453962295407e-12,1.6603872590691823e-18,OK,False,0.00016444040573659877
OK,5.0,0.05,1.4504307246197045e-08,1.2217696879689665e-08,1785.5154881163053,1785.5154881163053,2.3036656695765116e-07,1.2217696879689665e-08,1.4278738062607212,0.011009813392300059,1.3474458393880277e-06,1.3945023550667609e-12,1.879016396351513e-18,OK,False,0.00018633843357207508
