experiment_kind,parameter_value,V_sim,V_theory,Re_radius,Re_total_length,Re_theory_radius,Re_theory_total_length,low_re_status,notes
H2,0.1,2.470999801144175e-06,3.4932888290718e-06,0.0002470999801144175,0.0024709998011441746,0.00034932888290718,0.0034932888290718,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.01"
H2,0.2,2.428117046510715e-06,3.3491105385417065e-06,0.00024281170465107152,0.002428117046510715,0.00033491105385417065,0.003349110538541707,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.02"
H2,0.3,2.35947826761778e-06,3.172880649225789e-06,0.000235947826761778,0.0023594782676177803,0.00031728806492257886,0.003172880649225789,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.03"
H2,0.4,2.3976613222747534e-06,2.9572993465440785e-06,0.00023976613222747534,0.0023976613222747535,0.00029572993465440785,0.002957299346544079,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.04"
H2,0.5,2.4829304330809515e-06,2.6928960046472704e-06,0.00024829304330809514,0.0024829304330809517,0.00026928960046472707,0.0026928960046472706,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.05"
H2,0.6,2.3908910966939463e-06,2.367180405405336e-06,0.00023908910966939463,0.0023908910966939463,0.0002367180405405336,0.002367180405405336,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.06"
H2,0.7,1.974377605642477e-06,1.963365082074328e-06,0.0001974377605642477,0.001974377605642477,0.0001963365082074328,0.0019633650820743277,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.07"
H2,0.8,1.2535336494372163e-06,1.4583832541739832e-06,0.00012535336494372162,0.001253533649437216,0.00014583832541739832,0.001458383254173983,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.08"
H2,0.9,3.434715081883048e-07,8.197041788952946e-07,3.4347150818830476e-05,0.0003434715081883048,8.197041788952946e-05,0.0008197041788952946,LOW_RE_CONFIRMED,"fallback_from_config=density,fluid_viscosity,radius,total_length; body_length=0.09"
