experiment_kind,max_Re_radius,max_Re_total_length,max_Re_theory_radius,max_Re_theory_total_length,max_Re_overall,all_Re_below_1,all_Re_below_0p1,overall_low_re_status,notes
H1,0.0002559532337402297,0.0025595323374022973,0.0002854792317140482,0.002854792317140482,0.002854792317140482,True,True,LOW_RE_CONFIRMED,uses max across simulation/theory velocities and radius/total_length scales
H2,0.00024829304330809514,0.0024829304330809517,0.00034932888290718,0.0034932888290718,0.0034932888290718,True,True,LOW_RE_CONFIRMED,uses max across simulation/theory velocities and radius/total_length scales
