Time,Vz_mean,Omega_z,Input_Torque,Applied_Torque_Global_Z_Projection,Applied_Torque_Axis_Alignment,Damping_Torque_Global_Z_Estimate,Power_Efficiency,Theoretical_Error,V_theory
0.0,0.0,0.0,1e-08,1e-08,1.0,0.0,0.0,8.456361433605792,2.6928960046472704e-06
0.024000000000002013,1.2147578241407574e-09,7.15215990947278e-05,1e-08,1e-08,1.0,2.2469173028899127e-11,2.5971322886778524e-08,8.456361433605792,2.6928960046472704e-06
0.04799999999999774,4.484955970586831e-09,0.00013709288268691646,1e-08,1e-08,1.0,4.3068999310866414e-11,1.8469423375545397e-07,8.456361433605792,2.6928960046472704e-06
0.07200000000000162,1.053561382821374e-08,0.0002006912437831386,1e-08,9.999999999995267e-09,0.9999999999995267,6.304901371089067e-11,6.962146222836002e-07,8.456361433605792,2.6928960046472704e-06
0.09600000000002562,1.81675357957811e-08,0.0002669976769574668,1e-08,9.999999999983088e-09,0.9999999999983088,8.387979404551185e-11,1.5560962063477352e-06,8.456361433605792,2.6928960046472704e-06
0.12000000000004962,2.7097272363975595e-08,0.0003322797990470041,1e-08,9.999999999958112e-09,0.9999999999958111,1.0438877756223612e-10,2.7816282708502424e-06,8.456361433605792,2.6928960046472704e-06
0.14400000000007362,3.812276848508354e-08,0.0003936110053213912,1e-08,9.999999999913226e-09,0.9999999999913225,1.236565442689776e-10,4.6478650316323794e-06,8.456361433605792,2.6928960046472704e-06
0.16800000000009763,5.134801461326632e-08,0.00045319522725101714,1e-08,9.999999999840374e-09,0.9999999999840374,1.4237547965737523e-10,7.323418660310052e-06,8.456361433605792,2.6928960046472704e-06
0.19200000000012163,6.594294582225367e-08,0.0005126747694645781,1e-08,9.999999999730571e-09,0.9999999999730571,1.6106152894307597e-10,1.0676935548327482e-05,8.456361433605792,2.6928960046472704e-06
0.21600000000014563,8.14650176982859e-08,0.0005717218862440511,1e-08,9.999999999573455e-09,0.9999999999573455,1.7961172777208106e-10,1.4611990193748452e-05,8.456361433605792,2.6928960046472704e-06
0.24000000000016963,9.856021581397274e-08,0.0006302419966694344,1e-08,9.999999999357519e-09,0.9999999999357518,1.9799636267204583e-10,1.9402059396101168e-05,8.456361433605792,2.6928960046472704e-06
0.2640000000001159,1.1767304778549356e-07,0.0006854386880968477,1e-08,9.999999999071015e-09,0.9999999999071015,2.1533691470112828e-10,2.542946761662326e-05,8.456361433605792,2.6928960046472704e-06
0.2880000000000067,1.3757712353592114e-07,0.0007380787052258788,1e-08,9.999999998700395e-09,0.9999999998700395,2.3187426381086875e-10,3.2280603994782326e-05,8.456361433605792,2.6928960046472704e-06
0.31199999999989747,1.583917345780123e-07,0.0007923570690342429,1e-08,9.999999998231452e-09,0.9999999998231451,2.4892631470979186e-10,3.985620742980188e-05,8.456361433605792,2.6928960046472704e-06
0.33599999999978825,1.8088074863964387e-07,0.0008477855792265513,1e-08,9.999999997650478e-09,0.9999999997650478,2.663396947517502e-10,4.8579220989879476e-05,8.456361433605792,2.6928960046472704e-06
0.359999999999679,2.0435890150911717e-07,0.0008992416468631429,1e-08,9.99999999694234e-09,0.999999999694234,2.825050951587237e-10,5.84605079278744e-05,8.456361433605792,2.6928960046472704e-06
0.3839999999995698,2.284272059950699e-07,0.0009470457579063143,1e-08,9.999999996090214e-09,0.9999999996090213,2.9752319956518554e-10,6.935480738498051e-05,8.456361433605792,2.6928960046472704e-06
0.40799999999946057,2.539182098827459e-07,0.0009966880798514444,1e-08,9.99999999507808e-09,0.999999999507808,3.1311879495818153e-10,8.142922635203616e-05,8.456361433605792,2.6928960046472704e-06
0.43199999999935135,2.801730877253011e-07,0.0010476530361342021,1e-08,9.99999999388943e-09,0.999999999388943,3.2912990818302524e-10,9.431640408523849e-05,8.456361433605792,2.6928960046472704e-06
0.4559999999992421,3.06991890202522e-07,0.0010959044923131028,1e-08,9.999999992507105e-09,0.9999999992507105,3.442885502086896e-10,0.00010825126400684872,8.456361433605792,2.6928960046472704e-06
0.4799999999991329,3.346009684383354e-07,0.0011412125548309212,1e-08,9.999999990913082e-09,0.9999999990913082,3.5852249784412614e-10,0.0001234922558353693,8.456361433605792,2.6928960046472704e-06
0.5039999999990681,3.632402721256419e-07,0.001186687992797678,1e-08,9.999999989088166e-09,0.9999999989088166,3.7280902802764035e-10,0.00013995980031716025,8.456361433605792,2.6928960046472704e-06
0.5279999999992253,3.925880377356936e-07,0.0012323389447922801,1e-08,9.999999987015326e-09,0.9999999987015326,3.871506975692026e-10,0.00015743302088302335,8.456361433605792,2.6928960046472704e-06
0.5519999999993825,4.2202949691091215e-07,0.0012773727118624988,1e-08,9.999999984676529e-09,0.9999999984676529,4.012984727483298e-10,0.00017551727017433338,8.456361433605792,2.6928960046472704e-06
0.5759999999995398,4.522014375168766e-07,0.001320724028248782,1e-08,9.999999982051064e-09,0.9999999982051064,4.149176904565893e-10,0.00019489633647637832,8.456361433605792,2.6928960046472704e-06
0.599999999999697,4.83213658747485e-07,0.0013617328970093625,1e-08,9.99999997912059e-09,0.999999997912059,4.27801006539616e-10,0.00021584319039973373,8.456361433605792,2.6928960046472704e-06
0.6239999999998542,5.14428151807157e-07,0.0014021107469703899,1e-08,9.999999975866476e-09,0.9999999975866476,4.404860822201475e-10,0.00023758499769101863,8.456361433605792,2.6928960046472704e-06
