Time,Vz_mean,Omega_z,Input_Torque,Applied_Torque_Global_Z_Projection,Applied_Torque_Axis_Alignment,Damping_Torque_Global_Z_Estimate,Power_Efficiency,Theoretical_Error,V_theory
0.0,0.0,0.0,1e-08,1e-08,1.0,0.0,0.0,0.4383442977317799,1.906045497427405e-06
0.024000000000002013,1.5702968697846108e-09,6.794908107998346e-05,1e-08,1e-08,1.0,2.1346833393905333e-11,4.568060210908093e-08,0.4383442977317799,1.906045497427405e-06
0.04799999999999774,6.0025266142781115e-09,0.0001325378927143836,1e-08,9.999999999999856e-09,0.9999999999999856,4.163800700737798e-11,3.4219999981663106e-07,0.4383442977317799,1.906045497427405e-06
0.07200000000000162,1.2416036157163448e-08,0.0001924030490867237,1e-08,9.999999999993876e-09,0.9999999999993876,6.044520055391276e-11,1.0085695791070519e-06,0.4383442977317799,1.906045497427405e-06
0.09600000000002562,1.9827216213543033e-08,0.00025518592654023126,1e-08,9.999999999979364e-09,0.9999999999979363,8.016902321182953e-11,1.939182321249459e-06,0.4383442977317799,1.906045497427405e-06
0.12000000000004962,2.9164637206014278e-08,0.00031650595931116227,1e-08,9.999999999949868e-09,0.9999999999949868,9.943327965893375e-11,3.382853129679271e-06,0.4383442977317799,1.906045497427405e-06
0.14400000000007362,4.113340590215508e-08,0.00037545790185485663,1e-08,9.999999999896761e-09,0.9999999999896761,1.1795357861994553e-10,5.672571400267053e-06,0.4383442977317799,1.906045497427405e-06
0.16800000000009763,5.447816271136634e-08,0.00043324234488849154,1e-08,9.999999999810568e-09,0.9999999999810567,1.3610709679257007e-10,8.62314888842315e-06,0.4383442977317799,1.906045497427405e-06
0.19200000000012163,6.843929040926176e-08,0.0004882458197848822,1e-08,9.999999999680748e-09,0.9999999999680748,1.5338694805821123e-10,1.2076034358160002e-05,0.4383442977317799,1.906045497427405e-06
0.21600000000014563,8.400407657064377e-08,0.0005440694173841785,1e-08,9.999999999495572e-09,0.9999999999495572,1.7092444846970143e-10,1.632669528364595e-05,0.4383442977317799,1.906045497427405e-06
0.24000000000016963,1.0116842515571285e-07,0.0005966318500207464,1e-08,9.999999999241696e-09,0.9999999999241695,1.8743742369228647e-10,2.1594115657426846e-05,0.4383442977317799,1.906045497427405e-06
